model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8495575221238938,0.8805970149253731,0.8297130598015554,0.8636276899409634,0.8491150442477876,0.8495575221238938,0.7000442086648984,0.7309683153822023,7.058466911315918,True,[],{},4,42,1.0
LogisticRegression,0.7964601769911505,0.7850746268656716,0.7560871320682283,0.7285846628924345,0.7752439301111869,0.7964601769911505,0.5981432360742707,0.5463766600439193,4.687562942504883,True,[],{},4,42,1.0
GBTClassifier,0.8407079646017699,0.9671641791044776,0.8329742208541746,0.9661639879522429,0.8316300314016558,0.8407079646017699,0.7347480106100795,0.9246575342465753,41.362610816955566,True,[],{},4,42,1.0
LinearSVC,0.7699115044247787,0.7820895522388059,0.6698230088495574,0.6864571614290357,0.5927637246456261,0.7699115044247787,0.5,0.5,37.10074019432068,True,[],{},4,42,1.0
DecisionTreeClassifier,0.8407079646017699,0.8716417910447761,0.8260732149727916,0.8540890699326796,0.8313566280448863,0.8407079646017699,0.7077807250221044,0.7203022064205793,5.27154016494751,True,[],{},4,42,1.0
RandomForestClassifier,0.8495575221238938,0.8776119402985074,0.8250323648553736,0.8595465923317461,0.8583124319719844,0.8495575221238938,0.6865605658709106,0.7241190003137091,6.739816904067993,True,[],{},8,42,1.0
LogisticRegression,0.8407079646017699,0.8149253731343283,0.8260732149727916,0.774789597309619,0.8313566280448863,0.8407079646017699,0.7077807250221044,0.6049879744849942,8.726013898849487,True,[],{},8,42,1.0
GBTClassifier,0.8230088495575221,0.9880597014925373,0.8176228829007988,0.9879367566775598,0.8148046643621865,0.8230088495575221,0.7232537577365163,0.9726027397260274,40.04204559326172,True,[],{},8,42,1.0
LinearSVC,0.7699115044247787,0.8059701492537313,0.7098690812882037,0.7595933231477764,0.7194607559341659,0.7699115044247788,0.540450928381963,0.5844400292795148,45.46965575218201,True,[],{},8,42,1.0
DecisionTreeClassifier,0.8230088495575221,0.8805970149253731,0.8108086603661825,0.8661110728997105,0.8098431920509237,0.8230088495575221,0.6962864721485411,0.7408501516260588,5.595771074295044,True,[],{},8,42,1.0
RandomForestClassifier,0.8407079646017699,0.8895522388059701,0.8120167675826735,0.8744487345932361,0.8499183778675143,0.8407079646017699,0.6673297966401416,0.7465753424657534,8.102100610733032,True,[],{},12,42,1.0
LogisticRegression,0.8495575221238938,0.8417910447761194,0.8436564145880427,0.8201562954984193,0.8422057934370363,0.8495575221238938,0.7539787798408487,0.6765136463452891,10.258206844329834,True,[],{},12,42,1.0
GBTClassifier,0.831858407079646,0.991044776119403,0.8281361442131975,0.9909763294566036,0.825868923945107,0.831858407079646,0.7424845269672856,0.9794520547945205,44.46880483627319,True,[],{},12,42,1.0
LinearSVC,0.8407079646017699,0.835820895522388,0.8260732149727916,0.8057384863948716,0.8313566280448863,0.8407079646017699,0.7077807250221044,0.647992261842518,43.19733929634094,True,[],{},12,42,1.0
DecisionTreeClassifier,0.7964601769911505,0.8805970149253731,0.7752072383196924,0.8648962977321186,0.7744085244717356,0.7964601769911505,0.6385941644562335,0.7359092335041304,6.071839809417725,True,[],{},12,42,1.0
RandomForestClassifier,0.8584070796460177,0.8835820895522388,0.8375962500867119,0.867662179706384,0.8664826659657114,0.8584070796460177,0.7057913351016799,0.7378176304506954,7.631840944290161,True,[],{},16,42,1.0
LogisticRegression,0.8495575221238938,0.835820895522388,0.8436564145880427,0.8133697406115671,0.8422057934370363,0.8495575221238938,0.7539787798408487,0.6677559343302311,10.701417446136475,True,[],{},16,42,1.0
GBTClassifier,0.8230088495575221,0.9940298507462687,0.8176228829007988,0.9939997414700893,0.8148046643621865,0.8230088495575221,0.7232537577365163,0.9863013698630136,42.4948570728302,True,[],{},16,42,1.0
LinearSVC,0.8053097345132744,0.8208955223880597,0.7766948438692287,0.7845480745267526,0.7860918835246355,0.8053097345132744,0.6308576480990274,0.6186866046219806,43.44940781593323,True,[],{},16,42,1.0
DecisionTreeClassifier,0.7964601769911505,0.8805970149253731,0.7752072383196924,0.8648962977321186,0.7744085244717356,0.7964601769911505,0.6385941644562335,0.7359092335041304,6.115291118621826,True,[],{},16,42,1.0
RandomForestClassifier,0.8495575221238938,0.8805970149253731,0.8197165758765166,0.8623022982238546,0.8741490810074881,0.8495575221238938,0.6730769230769231,0.726027397260274,7.162830591201782,True,[],{},20,42,1.0
LogisticRegression,0.8407079646017699,0.8388059701492537,0.8358605946107188,0.8141081026022037,0.8337237983255682,0.8407079646017699,0.7482316534040672,0.6647234131548677,10.944476842880249,True,[],{},20,42,1.0
GBTClassifier,0.831858407079646,0.9940298507462687,0.8281361442131975,0.9939997414700893,0.825868923945107,0.831858407079646,0.7424845269672856,0.9863013698630136,43.158599615097046,True,[],{},20,42,1.0
LinearSVC,0.831858407079646,0.835820895522388,0.8183968232011579,0.8057384863948716,0.8200481520041645,0.831858407079646,0.7020335985853228,0.647992261842518,43.44578409194946,True,[],{},20,42,1.0
DecisionTreeClassifier,0.831858407079646,0.8865671641791045,0.8183968232011579,0.8716514828455126,0.8200481520041645,0.831858407079646,0.7020335985853228,0.7446669455191886,5.973981618881226,True,[],{},20,42,1.0
RandomForestClassifier,0.8053097345132744,0.8716417910447761,0.7629001821967725,0.8497157710701642,0.7958280657395702,0.8053097345132743,0.6038903625110522,0.7054794520547945,7.72470235824585,True,[],{},24,42,1.0
LogisticRegression,0.8407079646017699,0.844776119402985,0.8297277943295642,0.8243651870517542,0.8307302178750712,0.8407079646017699,0.7212643678160919,0.6833629614137823,12.057549715042114,True,[],{},24,42,1.0
GBTClassifier,0.8053097345132744,1.0,0.7958573810439914,1.0,0.7920639451898372,0.8053097345132743,0.684792219274978,1.0,42.809173345565796,True,[],{},24,42,1.0
LinearSVC,0.8141592920353983,0.8477611940298507,0.7947544349875453,0.8252896636321718,0.7976039973511528,0.8141592920353983,0.6635720601237842,0.6803304402384188,39.307363986968994,True,[],{},24,42,1.0
DecisionTreeClassifier,0.7787610619469026,0.9104477611940298,0.761048451580471,0.9028629579375849,0.755384565330557,0.7787610619469026,0.6270999115826702,0.804402384189062,6.593273878097534,True,[],{},24,42,1.0
RandomForestClassifier,0.8053097345132744,0.9014925373134328,0.7545046072438647,0.8900267888880536,0.810547790367491,0.8053097345132743,0.5904067197170645,0.773972602739726,8.239994525909424,True,[],{},28,42,1.0
LogisticRegression,0.8584070796460177,0.844776119402985,0.8453984133091481,0.8259443947696234,0.8536743910227169,0.8584070796460177,0.7327586206896551,0.6883038795357105,11.410936832427979,True,[],{},28,42,1.0
GBTClassifier,0.7787610619469026,1.0,0.7700829626294746,1.0,0.7649050000916104,0.7787610619469026,0.6540671971706455,1.0,41.92811179161072,True,[],{},28,42,1.0
LinearSVC,0.8141592920353983,0.8537313432835821,0.7896455444607449,0.8337294052721234,0.7983185840707965,0.8141592920353983,0.6500884173297967,0.6940290703754052,38.7157928943634,True,[],{},28,42,1.0
DecisionTreeClassifier,0.7787610619469026,0.9134328358208955,0.761048451580471,0.9078290017800903,0.755384565330557,0.7787610619469026,0.6270999115826702,0.8211335355014115,6.48150897026062,True,[],{},28,42,1.0
