model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8495575221238938,0.9074626865671642,0.8436564145880427,0.9067554043849041,0.8422057934370363,0.8495575221238938,0.7539787798408487,0.856844086583708,7.7368762493133545,True,[],{},4,42,1.0
LogisticRegression,0.7256637168141593,0.6686567164179105,0.7455565249906518,0.6974145005310527,0.8042396899762856,0.7256637168141593,0.7409372236958444,0.7091132489804455,5.172910690307617,True,[],{},4,42,1.0
GBTClassifier,0.831858407079646,0.991044776119403,0.8281361442131975,0.9911091465856641,0.825868923945107,0.831858407079646,0.7424845269672856,0.9942748091603054,42.998284339904785,True,[],{},4,42,1.0
LinearSVC,0.6283185840707964,0.6029850746268657,0.6572354480867505,0.6360028560244247,0.7832274530474103,0.6283185840707965,0.6912024756852343,0.6819512705218027,46.18674159049988,True,[],{},4,42,1.0
DecisionTreeClassifier,0.7168141592920354,0.7970149253731343,0.7377568351019679,0.8130070641966609,0.80100268185812,0.7168141592920354,0.7351900972590627,0.8405834989020182,5.370335578918457,True,[],{},4,42,1.0
RandomForestClassifier,0.8407079646017699,0.9283582089552239,0.8384271922767498,0.9263951228655136,0.8367969241987339,0.8407079646017699,0.7617152961980548,0.8702028652096622,7.576324224472046,True,[],{},8,42,1.0
LogisticRegression,0.7699115044247787,0.7582089552238805,0.7842484580316438,0.7749065778916525,0.821675354588435,0.7699115044247788,0.7696728558797525,0.7515424030116071,10.384146690368652,True,[],{},8,42,1.0
GBTClassifier,0.8495575221238938,0.9970149253731343,0.8505419859337494,0.9970074749405682,0.8516841599780476,0.8495575221238938,0.7944297082228117,0.9931506849315068,45.66205596923828,True,[],{},8,42,1.0
LinearSVC,0.7699115044247787,0.7522388059701492,0.7842484580316438,0.7667511411527737,0.821675354588435,0.7699115044247788,0.7696728558797525,0.7180801003869077,63.38153839111328,True,[],{},8,42,1.0
DecisionTreeClassifier,0.7610619469026548,0.817910447761194,0.7721720322329636,0.8301436980904094,0.792832830885928,0.7610619469026548,0.7234748010610079,0.8341786050402593,5.538966417312622,True,[],{},8,42,1.0
RandomForestClassifier,0.8230088495575221,0.9313432835820895,0.8108086603661825,0.9296677892906294,0.8098431920509237,0.8230088495575221,0.6962864721485411,0.8770521802781553,8.151315689086914,True,[],{},12,42,1.0
LogisticRegression,0.8053097345132744,0.7432835820895523,0.8163511963290725,0.76124247185127,0.8457382394038193,0.8053097345132743,0.8061450044208665,0.7321185820349263,11.591915845870972,True,[],{},12,42,1.0
GBTClassifier,0.8495575221238938,0.9970149253731343,0.8436564145880427,0.9970222248883573,0.8422057934370363,0.8495575221238938,0.7539787798408487,0.9980916030534351,45.86209678649902,True,[],{},12,42,1.0
LinearSVC,0.831858407079646,0.7701492537313432,0.8408639457013419,0.7851353430673325,0.8661992220445878,0.831858407079646,0.836870026525199,0.7591759907978667,57.430686712265015,True,[],{},12,42,1.0
DecisionTreeClassifier,0.8053097345132744,0.8238805970149253,0.8099724845690488,0.8363548150230278,0.8168106052528699,0.8053097345132744,0.7522104332449159,0.852818153299174,6.650047063827515,True,[],{},12,42,1.0
RandomForestClassifier,0.831858407079646,0.9313432835820895,0.8281361442131975,0.9304504305484602,0.825868923945107,0.831858407079646,0.7424845269672856,0.886934016522012,8.529845476150513,True,[],{},16,42,1.0
LogisticRegression,0.7787610619469026,0.7402985074626866,0.7930908157492718,0.758692693339041,0.8342956327793366,0.7787610619469028,0.7889036251105217,0.7302101850883614,11.315566539764404,True,[],{},16,42,1.0
GBTClassifier,0.8407079646017699,0.9940298507462687,0.8358605946107188,0.9940587525250417,0.8337237983255682,0.8407079646017699,0.7482316534040672,0.9961832061068702,46.172465085983276,True,[],{},16,42,1.0
LinearSVC,0.7610619469026548,0.7492537313432835,0.7765380810092133,0.7680116596043292,0.8179905029138788,0.7610619469026549,0.7639257294429708,0.7556990484157691,51.22902774810791,True,[],{},16,42,1.0
DecisionTreeClassifier,0.8053097345132744,0.8238805970149253,0.8099724845690488,0.8363548150230278,0.8168106052528699,0.8053097345132744,0.7522104332449159,0.852818153299174,5.866905689239502,True,[],{},16,42,1.0
RandomForestClassifier,0.8672566371681416,0.9253731343283582,0.8594990139995762,0.9244026419005003,0.8614642896074681,0.8672566371681416,0.765473032714412,0.878176304506954,7.7580039501190186,True,[],{},20,42,1.0
LogisticRegression,0.7787610619469026,0.7522388059701492,0.7919529489364041,0.7697872821510392,0.8254803476042415,0.7787610619469028,0.775419982316534,0.7477256091184774,12.575100183486938,True,[],{},20,42,1.0
GBTClassifier,0.7876106194690266,0.9970149253731343,0.784569589702333,0.9970222248883573,0.7820837890689735,0.7876106194690266,0.6867816091954023,0.9980916030534351,44.95808410644531,True,[],{},20,42,1.0
LinearSVC,0.8230088495575221,0.7611940298507462,0.8318862577720838,0.7778999738151349,0.854135539976248,0.8230088495575221,0.8176392572944298,0.7583917180801003,46.18953824043274,True,[],{},20,42,1.0
DecisionTreeClassifier,0.7522123893805309,0.826865671641791,0.7646407608809174,0.837602744698414,0.7885747487517398,0.752212389380531,0.7177276746242263,0.8349628777580257,7.059132814407349,True,[],{},20,42,1.0
RandomForestClassifier,0.8584070796460177,0.9343283582089552,0.8453984133091481,0.9329186041027293,0.8536743910227169,0.8584070796460177,0.7327586206896551,0.8839014953466486,8.116434335708618,True,[],{},24,42,1.0
LogisticRegression,0.7787610619469026,0.7671641791044777,0.7890481779934849,0.7834524744697565,0.8092774482155013,0.7787610619469026,0.7484526967285587,0.7671494300951585,12.834050416946411,True,[],{},24,42,1.0
GBTClassifier,0.7699115044247787,0.9970149253731343,0.777703910370984,0.9970222248883573,0.7899049491969846,0.7699115044247787,0.715738284703802,0.9980916030534351,44.1758508682251,True,[],{},24,42,1.0
LinearSVC,0.7964601769911505,0.7850746268656716,0.805924323754006,0.7988655755041218,0.8257220655450744,0.7964601769911505,0.7734305923961097,0.7785998117745478,45.074458599090576,True,[],{},24,42,1.0
DecisionTreeClassifier,0.7079646017699115,0.8597014925373134,0.7236058004286463,0.8675765121858647,0.7517560644016164,0.7079646017699115,0.6620247568523431,0.8707779985360243,6.671186447143555,True,[],{},24,42,1.0
RandomForestClassifier,0.8053097345132744,0.9462686567164179,0.7823865258349986,0.9451152215385967,0.7856185112822281,0.8053097345132744,0.6443412908930151,0.9014169193767646,8.894062042236328,True,[],{},28,42,1.0
LogisticRegression,0.7610619469026548,0.7761194029850746,0.7765380810092133,0.7911602845373888,0.8179905029138788,0.7610619469026549,0.7639257294429708,0.772874620934853,12.924861907958984,True,[],{},28,42,1.0
GBTClassifier,0.7787610619469026,1.0,0.7802088028437493,1.0,0.7817871380332793,0.7787610619469026,0.6945181255526083,1.0,46.38650703430176,True,[],{},28,42,1.0
LinearSVC,0.7699115044247787,0.7940298507462686,0.7829605047525401,0.806094322163149,0.8130973451327432,0.7699115044247788,0.7561892130857647,0.7793840844923141,43.42399597167969,True,[],{},28,42,1.0
DecisionTreeClassifier,0.7433628318584071,0.8746268656716418,0.7532084473620632,0.8804677787532924,0.7686343523732906,0.743362831858407,0.6850132625994695,0.8753790651469204,6.815709590911865,True,[],{},28,42,1.0
