model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8761061946902655,0.9432835820895522,0.8700910606643582,0.9434222728787871,0.8711961176134742,0.8761061946902655,0.7847038019451813,0.9192721949179128,92.45600366592407,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 100}",16,42,9.0
RandomForestClassifier,0.8761061946902655,0.9462686567164179,0.8700910606643582,0.9447963421491354,0.8711961176134742,0.8761061946902655,0.7847038019451813,0.8964760012548364,90.06949138641357,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 50}",12,42,9.0
RandomForestClassifier,0.8584070796460177,0.9373134328358209,0.8540983063206391,0.9364982191964202,0.85264293228895,0.8584070796460177,0.7732095490716181,0.8956917285370699,81.06732511520386,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 100}",8,42,9.0
RandomForestClassifier,0.8672566371681416,1.0,0.8533960249911037,1.0,0.8671904159894046,0.8672566371681415,0.7385057471264369,1.0,83.25891709327698,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 10, 'numTrees': 100}",4,42,9.0
RandomForestClassifier,0.8584070796460177,0.9701492537313433,0.8515326407592664,0.9698418916938993,0.851413074507565,0.8584070796460177,0.7597259062776304,0.9463296036808533,92.21702480316162,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 100}",20,42,9.0
GBTClassifier,0.8495575221238938,0.9970149253731343,0.8505419859337494,0.9970074749405682,0.8516841599780476,0.8495575221238938,0.7944297082228117,0.9931506849315068,42.07213234901428,True,[],{},8,42,1.0
GBTClassifier,0.8495575221238938,0.9970149253731343,0.8436564145880427,0.9970222248883573,0.8422057934370363,0.8495575221238938,0.7539787798408487,0.9980916030534351,51.855167388916016,True,[],{},12,42,1.0
LinearSVC,0.831858407079646,0.7701492537313432,0.8408639457013419,0.7851353430673325,0.8661992220445878,0.831858407079646,0.836870026525199,0.7591759907978667,192.70536613464355,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},12,42,4.0
RandomForestClassifier,0.8495575221238938,0.9671641791044776,0.8375129470747202,0.9667371624362202,0.841602680895367,0.8495575221238938,0.7270114942528736,0.9394802886123601,94.78919267654419,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 50}",24,42,9.0
GBTClassifier,0.8407079646017699,0.9940298507462687,0.8358605946107188,0.9940587525250417,0.8337237983255682,0.8407079646017699,0.7482316534040672,0.9961832061068702,45.865482807159424,True,[],{},16,42,1.0
LinearSVC,0.8230088495575221,0.7611940298507462,0.8318862577720838,0.7778999738151349,0.854135539976248,0.8230088495575221,0.8176392572944298,0.7583917180801003,163.39621901512146,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},20,42,4.0
GBTClassifier,0.831858407079646,0.991044776119403,0.8281361442131975,0.9911091465856641,0.825868923945107,0.831858407079646,0.7424845269672856,0.9942748091603054,42.13577079772949,True,[],{},4,42,1.0
LogisticRegression,0.8053097345132744,0.7432835820895523,0.8163511963290725,0.76124247185127,0.8457382394038193,0.8053097345132743,0.8061450044208665,0.7321185820349263,53.69165110588074,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",12,42,9.0
LinearSVC,0.7964601769911505,0.7850746268656716,0.805924323754006,0.7988655755041218,0.8257220655450744,0.7964601769911505,0.7734305923961097,0.7785998117745478,158.50563645362854,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},24,42,4.0
LinearSVC,0.7876106194690266,0.764179104477612,0.8008447304907482,0.7779920500128809,0.8379742999151413,0.7876106194690267,0.7946507515473031,0.7355955244170239,176.27793979644775,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.05},16,42,4.0
LogisticRegression,0.7787610619469026,0.7402985074626866,0.7930908157492718,0.758692693339041,0.8342956327793366,0.7787610619469028,0.7889036251105217,0.7302101850883614,55.29147005081177,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",16,42,9.0
LogisticRegression,0.7787610619469026,0.7522388059701492,0.7919529489364041,0.7697872821510392,0.8254803476042415,0.7787610619469028,0.775419982316534,0.7477256091184774,58.54870796203613,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",20,42,9.0
LogisticRegression,0.7787610619469026,0.7671641791044777,0.7890481779934849,0.7834524744697565,0.8092774482155013,0.7787610619469026,0.7484526967285587,0.7671494300951585,61.9854679107666,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",24,42,9.0
GBTClassifier,0.7876106194690266,0.9970149253731343,0.784569589702333,0.9970222248883573,0.7820837890689735,0.7876106194690266,0.6867816091954023,0.9980916030534351,46.56917929649353,True,[],{},20,42,1.0
LogisticRegression,0.7699115044247787,0.7582089552238805,0.7842484580316438,0.7749065778916525,0.821675354588435,0.7699115044247788,0.7696728558797525,0.7515424030116071,45.19831919670105,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",8,42,9.0
LinearSVC,0.7699115044247787,0.7522388059701492,0.7842484580316438,0.7667511411527737,0.821675354588435,0.7699115044247788,0.7696728558797525,0.7180801003869077,216.59464573860168,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},8,42,4.0
GBTClassifier,0.7699115044247787,0.9970149253731343,0.777703910370984,0.9970222248883573,0.7899049491969846,0.7699115044247787,0.715738284703802,0.9980916030534351,47.625144243240356,True,[],{},24,42,1.0
LogisticRegression,0.6991150442477876,0.6537313432835821,0.7213666372958409,0.6834964571083972,0.7845095415573154,0.6991150442477877,0.710212201591512,0.6748666736379797,32.89078235626221,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.1, 'elasticNetParam': 0.0}",4,42,9.0
LinearSVC,0.6283185840707964,0.6029850746268657,0.6572354480867505,0.6360028560244247,0.7832274530474103,0.6283185840707965,0.6912024756852343,0.6819512705218027,189.19448566436768,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},4,42,4.0
