model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8225806451612904,0.9263803680981595,0.8077044669515836,0.9236547145710019,0.8219768845954805,0.8225806451612903,0.7272727272727273,0.8560191518467852,15.215701580047607,True,[],{},4,42,1.0
LogisticRegression,0.7741935483870968,0.8159509202453987,0.7513440860215054,0.788823686316351,0.7627791563275435,0.7741935483870968,0.6603535353535355,0.6238030095759234,14.329264879226685,True,[],{},4,42,1.0
GBTClassifier,0.8064516129032258,0.9938650306748467,0.7868663594470046,0.9938975512363175,0.8054590570719604,0.8064516129032258,0.6994949494949495,0.9961240310077519,50.12970542907715,True,[],{},4,42,1.0
LinearSVC,0.7741935483870968,0.8220858895705522,0.7513440860215054,0.7979327012455847,0.7627791563275435,0.7741935483870968,0.6603535353535355,0.6385088919288646,57.09626913070679,True,[],{},4,42,1.0
DecisionTreeClassifier,0.7741935483870968,0.9325153374233128,0.7312903225806451,0.9295345734839529,0.7868663594470046,0.7741935483870969,0.6275252525252525,0.8598951208390332,6.690046072006226,True,[],{},4,42,1.0
RandomForestClassifier,0.7903225806451613,0.9325153374233128,0.7445600099981948,0.9285055840955798,0.8381437464629315,0.7903225806451614,0.6388888888888888,0.8490652074783402,8.605874061584473,True,[],{},8,42,1.0
LogisticRegression,0.7580645161290323,0.8343558282208589,0.728965746591287,0.8217593954096363,0.7425441265976871,0.7580645161290323,0.6325757575757576,0.6895804833561331,7.739793300628662,True,[],{},8,42,1.0
GBTClassifier,0.8387096774193549,1.0,0.822388632872504,1.0,0.8481389578163772,0.8387096774193549,0.7386363636363636,1.0,43.46523094177246,True,[],{},8,42,1.0
LinearSVC,0.7741935483870968,0.8588957055214724,0.7422899680964198,0.8526631991028105,0.7697132616487455,0.7741935483870968,0.6439393939393939,0.7484040127678978,55.56405282020569,True,[],{},8,42,1.0
DecisionTreeClassifier,0.8387096774193549,0.9386503067484663,0.822388632872504,0.9372014471034514,0.8481389578163772,0.8387096774193549,0.7386363636363636,0.8854309165526675,5.978588819503784,True,[],{},8,42,1.0
RandomForestClassifier,0.7903225806451613,0.9386503067484663,0.75584229390681,0.9345061239181709,0.8036866359447004,0.7903225806451614,0.6553030303030303,0.8529411764705883,8.129605531692505,True,[],{},12,42,1.0
LogisticRegression,0.7741935483870968,0.8466257668711656,0.7513440860215054,0.8375126911263178,0.7627791563275435,0.7741935483870968,0.6603535353535355,0.7189922480620156,11.262292861938477,True,[],{},12,42,1.0
GBTClassifier,0.8387096774193549,1.0,0.822388632872504,1.0,0.8481389578163772,0.8387096774193549,0.7386363636363636,1.0,43.26559901237488,True,[],{},12,42,1.0
LinearSVC,0.7741935483870968,0.8773006134969326,0.7422899680964198,0.8727578576183366,0.7697132616487455,0.7741935483870968,0.6439393939393939,0.7816917464660283,57.05639672279358,True,[],{},12,42,1.0
