model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8225806451612904,0.9631901840490797,0.8130419701699617,0.9635722502191061,0.8171367802704208,0.8225806451612903,0.7436868686868687,0.9550843593251254,15.35275673866272,True,[],{},4,42,1.0
LogisticRegression,0.8225806451612904,0.8282208588957055,0.8174406238922367,0.8389021278034106,0.8168840082361016,0.8225806451612903,0.7601010101010102,0.8264933880528956,11.306194305419922,True,[],{},4,42,1.0
GBTClassifier,0.8225806451612904,0.9938650306748467,0.8174406238922367,0.9938975512363175,0.8168840082361016,0.8225806451612903,0.7601010101010102,0.9961240310077519,47.806575775146484,True,[],{},4,42,1.0
LinearSVC,0.8548387096774194,0.8588957055214724,0.8506332377300121,0.8645919827825364,0.8513383665065203,0.8548387096774193,0.7992424242424242,0.8350433196534428,57.85996055603027,True,[],{},4,42,1.0
DecisionTreeClassifier,0.7741935483870968,0.8404907975460123,0.7801075268817205,0.8531163865919801,0.7925219941348973,0.7741935483870969,0.7588383838383839,0.8883948928408574,6.645552635192871,True,[],{},4,42,1.0
RandomForestClassifier,0.8870967741935484,0.9570552147239264,0.877630115332826,0.9557592769704084,0.9025932953826692,0.8870967741935485,0.8055555555555556,0.9078887368901049,8.064534664154053,True,[],{},8,42,1.0
LogisticRegression,0.8225806451612904,0.8220858895705522,0.821042820897841,0.8316427775381909,0.8199873497786211,0.8225806451612903,0.7765151515151514,0.8009575923392612,7.172960042953491,True,[],{},8,42,1.0
GBTClassifier,0.8387096774193549,1.0,0.8277282086479067,1.0,0.8380645161290323,0.8387096774193548,0.7550505050505051,1.0,45.487900495529175,True,[],{},8,42,1.0
LinearSVC,0.8548387096774194,0.8404907975460123,0.8535804898255062,0.8474998350814698,0.8528357579590975,0.8548387096774194,0.8156565656565657,0.8125854993160054,48.894331216812134,True,[],{},8,42,1.0
DecisionTreeClassifier,0.7903225806451613,0.9079754601226994,0.7842480100544617,0.9129186780369953,0.7824296499656829,0.7903225806451613,0.720959595959596,0.9310305517555861,5.7414209842681885,True,[],{},8,42,1.0
RandomForestClassifier,0.8548387096774194,0.9570552147239264,0.8373794479547723,0.9577098825359229,0.8794887401095557,0.8548387096774194,0.75,0.9512083903328774,7.828876495361328,True,[],{},12,42,1.0
LogisticRegression,0.8387096774193549,0.8282208588957055,0.838709677419355,0.8369145593296423,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8048335613315093,11.435641765594482,True,[],{},12,42,1.0
GBTClassifier,0.8064516129032258,1.0,0.7868663594470046,1.0,0.8054590570719604,0.8064516129032258,0.6994949494949495,1.0,46.28101706504822,True,[],{},12,42,1.0
LinearSVC,0.8709677419354839,0.852760736196319,0.8709677419354839,0.8592306169982797,0.8709677419354839,0.8709677419354839,0.8434343434343433,0.8311673506611946,45.877817153930664,True,[],{},12,42,1.0
DecisionTreeClassifier,0.7741935483870968,0.9079754601226994,0.7649894810659187,0.9129186780369953,0.7632488479262673,0.7741935483870968,0.6931818181818182,0.9310305517555861,7.015549659729004,True,[],{},12,42,1.0
RandomForestClassifier,0.7903225806451613,0.950920245398773,0.75584229390681,0.9503653810402276,0.8036866359447004,0.7903225806451614,0.6553030303030303,0.91484268125855,7.197389364242554,True,[],{},16,42,1.0
LogisticRegression,0.8387096774193549,0.852760736196319,0.838709677419355,0.8592306169982797,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8311673506611946,12.415596008300781,True,[],{},16,42,1.0
GBTClassifier,0.8064516129032258,1.0,0.7868663594470046,1.0,0.8054590570719604,0.8064516129032258,0.6994949494949495,1.0,45.15756154060364,True,[],{},16,42,1.0
LinearSVC,0.8387096774193549,0.8404907975460123,0.838709677419355,0.8495313531029305,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8342453260373917,50.56888270378113,True,[],{},16,42,1.0
DecisionTreeClassifier,0.7580645161290323,0.9079754601226994,0.7450572320499479,0.9129186780369953,0.7435053425836836,0.7580645161290323,0.6654040404040404,0.9310305517555861,7.041362047195435,True,[],{},16,42,1.0
RandomForestClassifier,0.8225806451612904,0.9631901840490797,0.8012415475002771,0.9623208682620709,0.8338405356055996,0.8225806451612904,0.7108585858585859,0.9225946192430461,7.383030414581299,True,[],{},20,42,1.0
LogisticRegression,0.8225806451612904,0.852760736196319,0.821042820897841,0.8592306169982797,0.8199873497786211,0.8225806451612903,0.7765151515151514,0.8311673506611946,12.701680421829224,True,[],{},20,42,1.0
GBTClassifier,0.7903225806451613,1.0,0.7790496011099548,1.0,0.7803210614270523,0.7903225806451613,0.7045454545454545,1.0,46.90815496444702,True,[],{},20,42,1.0
LinearSVC,0.7903225806451613,0.8834355828220859,0.7919510166451211,0.8872498553841892,0.7940142930469458,0.7903225806451613,0.7537878787878787,0.8613771089831282,48.0806999206543,True,[],{},20,42,1.0
