model,accuracy,accuracy (train),f1_score,f1_score (train),precision,recall,auc,auc (train),training_time,CrossValidation,paramGrid,best_params,num_best_features,seed,num_params
RandomForestClassifier,0.8870967741935484,0.9570552147239264,0.877630115332826,0.9557592769704084,0.9025932953826692,0.8870967741935485,0.8055555555555556,0.9078887368901049,64.79253149032593,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 20}",8,42,9.0
LinearSVC,0.8709677419354839,0.852760736196319,0.8709677419354839,0.8592306169982797,0.8709677419354839,0.8709677419354839,0.8434343434343433,0.8311673506611946,162.93867874145508,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},12,42,4.0
LinearSVC,0.8548387096774194,0.8404907975460123,0.8535804898255062,0.8474998350814698,0.8528357579590975,0.8548387096774194,0.8156565656565657,0.8125854993160054,194.787584066391,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},8,42,4.0
LinearSVC,0.8548387096774194,0.8588957055214724,0.8506332377300121,0.8645919827825364,0.8513383665065203,0.8548387096774193,0.7992424242424242,0.8350433196534428,189.27752447128296,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},4,42,4.0
LogisticRegression,0.8548387096774194,0.8466257668711656,0.8506332377300121,0.8516445465581438,0.8513383665065203,0.8548387096774193,0.7992424242424242,0.8056315549475603,58.01149535179138,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.1, 'elasticNetParam': 0.5}",20,42,9.0
LogisticRegression,0.8548387096774194,0.852760736196319,0.8506332377300121,0.8581543429124959,0.8513383665065203,0.8548387096774193,0.7992424242424242,0.8203374373005016,61.16363024711609,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.1, 'elasticNetParam': 0.5}",24,42,9.0
LinearSVC,0.8387096774193549,0.8404907975460123,0.838709677419355,0.8495313531029305,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8342453260373917,163.58416032791138,True,"['regParam : [0.0, 0.05, 0.1, 0.2]']",{'regParam': 0.0},16,42,4.0
LogisticRegression,0.8387096774193549,0.8282208588957055,0.838709677419355,0.8369145593296423,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8048335613315093,50.86715745925903,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",12,42,9.0
LogisticRegression,0.8387096774193549,0.852760736196319,0.838709677419355,0.8592306169982797,0.8387096774193549,0.8387096774193549,0.8042929292929293,0.8311673506611946,54.086899280548096,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",16,42,9.0
RandomForestClassifier,0.8387096774193549,0.9693251533742331,0.8277282086479067,0.968793564520241,0.8380645161290323,0.8387096774193548,0.7550505050505051,0.9373005015959872,64.5710301399231,True,"['maxDepth : [5, 10, 15]', 'numTrees : [20, 50, 100]']","{'maxDepth': 5, 'numTrees': 50}",12,42,9.0
GBTClassifier,0.8387096774193549,1.0,0.8277282086479067,1.0,0.8380645161290323,0.8387096774193548,0.7550505050505051,1.0,41.942564249038696,True,[],{},8,42,1.0
LogisticRegression,0.8225806451612904,0.8220858895705522,0.821042820897841,0.8316427775381909,0.8199873497786211,0.8225806451612903,0.7765151515151514,0.8009575923392612,38.05517888069153,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",8,42,9.0
GBTClassifier,0.8225806451612904,0.9938650306748467,0.8174406238922367,0.9938975512363175,0.8168840082361016,0.8225806451612903,0.7601010101010102,0.9961240310077519,40.60824513435364,True,[],{},4,42,1.0
LogisticRegression,0.8225806451612904,0.8282208588957055,0.8174406238922367,0.8389021278034106,0.8168840082361016,0.8225806451612903,0.7601010101010102,0.8264933880528956,35.92367100715637,True,"['regParam : [0.0, 0.1, 0.2]', 'elasticNetParam : [0.0, 0.5, 1.0]']","{'regParam': 0.0, 'elasticNetParam': 0.0}",4,42,9.0
